rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
410,B134/S23,False,1.109223,0.002677,0,16,0.962597,0.018089,0.320148,0.010228,0.345449,0.011435,3201.12,67.31,True
412,B234/S23,False,0.701319,0.002243,0,16,0.623589,0.372574,0.149955,0.090413,0.216124,0.129488,1518.75,43.38,True
414,B1234/S23,False,0.718100,0.003003,0,16,0.686119,0.343445,0.146255,0.073968,0.205282,0.103789,1462.25,47.75,True
416,B/S023,False,1.097890,0.000255,0,16,0.042606,0.045860,0.000399,0.000586,0.183151,0.247840,3.06,2.62,False
417,B0/S023,False,1.098025,0.000205,0,16,0.055970,0.042627,0.000875,0.000652,0.157347,0.136550,6.75,3.50,False
418,B1/S023,False,1.115705,0.034413,0,16,0.320059,0.112773,0.013604,0.007267,0.135465,0.057697,105.50,20.06,True
420,B2/S023,False,1.037074,0.005089,0,16,0.932262,0.024952,0.281838,0.014654,0.324562,0.022866,2811.19,64.94,True
422,B12/S023,False,0.956560,0.004478,0,16,0.815822,0.051470,0.125589,0.020927,0.188661,0.029725,1162.94,55.69,True
424,B3/S023,False,1.098001,0.000539,0,16,0.077634,0.033403,0.001165,0.000823,0.159749,0.092337,8.94,4.81,False
425,B03/S023,False,1.018317,0.023203,0,16,0.800124,0.059311,0.149107,0.027117,0.234448,0.048609,1352.31,54.94,True
426,B13/S023,False,1.234978,0.004214,0,16,0.995115,0.007118,0.393085,0.008257,0.396936,0.007615,3908.56,69.62,True
428,B23/S023,False,0.848037,0.002194,0,16,0.836464,0.225082,0.231642,0.064243,0.290346,0.078796,2336.25,58.69,True
430,B123/S023,False,0.836675,0.003405,0,16,0.837006,0.224176,0.223944,0.060609,0.280963,0.077285,2246.19,58.25,True
432,B4/S023,False,1.102213,0.016408,0,16,0.027390,0.017500,0.000362,0.000284,0.331946,0.305462,2.75,1.69,False
433,B04/S023,False,1.098328,0.000110,0,16,0.199138,0.119722,0.005174,0.003738,0.081195,0.047935,39.62,12.19,True
434,B14/S023,False,1.208591,0.002935,0,16,0.901983,0.042939,0.254015,0.021852,0.312405,0.025301,2524.12,62.69,True
436,B24/S023,False,1.197570,0.000783,0,16,0.985925,0.012648,0.378318,0.011437,0.389143,0.010354,3751.19,69.00,True
438,B124/S023,False,1.178905,0.000948,0,16,0.968188,0.014344,0.342557,0.010668,0.365271,0.008555,3435.44,67.81,True
440,B34/S023,False,1.098279,0.000383,0,16,0.087778,0.057132,0.001904,0.001513,0.183829,0.135915,15.25,5.44,False
442,B134/S023,False,1.150589,0.003503,0,16,0.963136,0.017706,0.327942,0.007514,0.353464,0.009363,3289.19,67.38,True
444,B234/S023,False,0.761774,0.002569,0,16,0.735959,0.289648,0.181235,0.072483,0.255408,0.100442,1835.19,51.50,True
446,B1234/S023,False,0.836282,0.009215,0,16,0.798074,0.215486,0.176679,0.049305,0.243429,0.067375,1781.44,55.81,True
448,B/S123,False,0.693147,0.000000,0,16,0.012173,0.012572,0.000261,0.000172,0.657692,0.322343,2.00,0.75,False
449,B0/S123,False,0.887511,0.042143,0,16,0.010084,0.014834,0.000207,0.000115,0.739446,0.357196,1.44,0.56,False
450,B1/S123,False,0.908482,0.045799,0,16,0.056331,0.021601,0.000863,0.000441,0.226448,0.100529,6.56,3.50,False
452,B2/S123,False,1.212913,0.082439,0,16,0.123237,0.058698,0.002921,0.001872,0.161965,0.092776,22.12,7.62,True
454,B12/S123,False,1.004686,0.000211,0,16,0.096742,0.070199,0.002097,0.001839,0.122999,0.111180,16.25,5.81,False
456,B3/S123,False,1.098102,0.000167,0,16,0.071189,0.050930,0.001427,0.001149,0.264825,0.231052,10.88,4.38,False
458,B13/S123,False,1.224568,0.005045,0,16,0.528601,0.071567,0.038223,0.010624,0.134764,0.031275,294.81,32.88,True
460,B23/S123,False,0.631841,0.004760,0,16,0.523718,0.420475,0.123631,0.099540,0.175961,0.141417,1247.94,36.81,True
462,B123/S123,False,0.650623,0.013545,0,16,0.589265,0.353320,0.059502,0.036502,0.096177,0.058705,601.62,40.88,True
464,B4/S123,False,0.951793,0.026626,0,16,0.010144,0.014331,0.000199,0.000120,0.681855,0.392441,1.50,0.62,False
465,B04/S123,False,0.988427,0.064886,0,16,0.023211,0.021241,0.000388,0.000306,0.391282,0.356588,2.62,1.31,False
466,B14/S123,False,0.949005,0.026848,0,16,0.067444,0.051083,0.000982,0.000651,0.197575,0.112442,7.69,4.06,False
468,B24/S123,False,1.092318,0.032749,0,16,0.578882,0.168385,0.057039,0.019966,0.149259,0.050373,504.81,38.94,True
470,B124/S123,False,1.042060,0.027277,0,16,0.679785,0.193359,0.098642,0.031813,0.186763,0.055425,942.19,46.88,True
472,B34/S123,False,1.098168,0.000203,0,16,0.113431,0.068713,0.001691,0.000961,0.126496,0.110596,13.00,7.00,True
474,B134/S123,False,1.193661,0.004734,0,16,0.721454,0.059120,0.089580,0.012783,0.171572,0.021746,795.06,49.12,True
476,B234/S123,False,0.639970,0.011745,0,16,0.586045,0.295260,0.105910,0.053285,0.204967,0.106093,1080.25,40.81,True
478,B1234/S123,False,0.713033,0.018233,0,16,0.302669,0.317416,0.036735,0.039284,0.100048,0.105390,365.38,21.06,True
480,B/S0123,False,0.024771,0.000015,0,16,0.007101,0.008316,0.000179,0.000081,0.675000,0.349285,1.38,0.44,False
