rule,label,affine,mle_mean,mle_sd,n_inf,samples,v_front_mean,v_front_sd,D_norm_mean,D_norm_sd,fill_mean,fill_sd,h_final_mean,r_final_mean,cone_grows
110504,B3578/S012467,False,2.089808,0.000796,0,10,1.000000,0.000000,0.493003,0.001374,0.493003,0.001374,9812.00,70.00,True
110546,B14678/S012467,False,1.878240,0.001123,0,10,1.000000,0.000000,0.478739,0.002789,0.478739,0.002789,9526.10,70.00,True
110604,B23/S3467,False,1.416146,0.001911,0,10,0.967642,0.016937,0.357840,0.005558,0.382308,0.014326,7187.00,67.60,True
110916,B268/S3467,False,1.569463,0.001604,0,10,0.984730,0.007737,0.361896,0.007007,0.373132,0.006635,7238.50,68.90,True
110929,B0468/S3467,False,1.739252,0.005097,0,10,0.997944,0.006501,0.429840,0.011919,0.431574,0.009763,8580.10,69.80,True
110988,B2378/S3467,False,1.467827,0.001254,0,10,0.983645,0.008553,0.375864,0.007576,0.388478,0.010913,7496.40,68.70,True
111026,B14578/S3467,False,1.750335,0.000735,0,10,0.998377,0.005133,0.406197,0.007870,0.407486,0.005892,8106.50,69.90,True
111262,B12347/S03467,False,1.544403,0.001880,0,10,0.992799,0.008065,0.396047,0.007626,0.401826,0.009366,7880.30,69.50,True
111328,B567/S03467,False,1.389906,0.038196,0,10,0.155816,0.035229,0.000652,0.000252,0.024729,0.006654,10.00,9.60,True
111386,B1348/S03467,False,1.541304,0.001808,0,10,0.996754,0.006844,0.409666,0.006302,0.412342,0.006884,8221.90,69.80,True
111945,B0368/S13467,False,1.726951,0.001415,0,10,1.000000,0.000000,0.452285,0.006020,0.452285,0.006020,9043.80,70.00,True
111990,B124568/S13467,False,1.660158,0.001276,0,10,1.000000,0.000000,0.361506,0.008441,0.361506,0.008441,7167.70,70.00,True
112036,B2578/S13467,False,1.862739,0.000821,0,10,1.000000,0.000000,0.458766,0.004388,0.458766,0.004388,9130.80,70.00,True
112417,B058/S013467,False,1.397545,0.025524,0,10,0.149324,0.052899,0.002967,0.001203,0.128917,0.037958,45.50,9.20,True
112529,B0478/S013467,False,1.630629,0.004388,0,10,0.989264,0.012375,0.380380,0.015943,0.388591,0.013853,7573.50,69.30,True
112748,B2356/S23467,False,1.698891,0.001322,0,10,1.000000,0.000000,0.388067,0.002023,0.388067,0.002023,7750.80,70.00,True
113130,B135678/S23467,False,1.561491,0.003345,0,10,0.990887,0.011121,0.322585,0.006003,0.328577,0.007995,6432.20,69.40,True
113266,B1456/S023467,False,1.558320,0.000917,0,10,0.988039,0.010308,0.345604,0.007624,0.353983,0.007152,6923.00,69.20,True
113324,B2357/S023467,False,1.873048,0.000753,0,10,1.000000,0.000000,0.438139,0.003986,0.438139,0.003986,8726.90,70.00,True
113330,B1457/S023467,False,1.742389,0.001400,0,10,1.000000,0.000000,0.405500,0.004648,0.405500,0.004648,8067.30,70.00,True
113446,B1258/S023467,False,1.730023,0.001132,0,10,0.996754,0.006844,0.422560,0.008494,0.425258,0.004811,8417.40,69.80,True
113574,B12578/S023467,False,1.796934,0.002026,0,10,1.000000,0.000000,0.433209,0.005673,0.433209,0.005673,8619.30,70.00,True
113594,B134578/S023467,False,1.679531,0.001169,0,10,0.998801,0.003791,0.371535,0.002852,0.372424,0.002029,7415.50,69.90,True
113754,B1346/S123467,False,1.697561,0.001374,0,10,1.000000,0.000000,0.415136,0.004633,0.415136,0.004633,8284.90,70.00,True
113758,B12346/S123467,False,1.646023,0.001443,0,10,1.000000,0.000000,0.401717,0.004537,0.401717,0.004537,7977.50,70.00,True
113904,B4567/S123467,False,1.453725,0.001232,0,10,0.974893,0.011935,0.301021,0.005946,0.316685,0.007699,6056.20,68.20,True
113968,B458/S123467,False,1.631261,0.000948,0,10,0.989918,0.011070,0.389926,0.008817,0.397836,0.005657,7827.00,69.30,True
114112,B678/S123467,False,1.170731,0.075283,0,10,0.042200,0.034388,0.000567,0.000473,0.315298,0.268492,8.70,2.60,False
114138,B134678/S123467,False,1.589002,0.001199,0,10,1.000000,0.000000,0.370247,0.004600,0.370247,0.004600,7375.00,70.00,True
114174,B12345678/S123467,False,1.380077,0.003024,0,10,0.561994,0.483802,0.155611,0.134071,0.177168,0.152529,3139.90,39.40,True
114216,B35/S0123467,False,1.805462,0.001309,0,10,1.000000,0.000000,0.435357,0.004354,0.435357,0.004354,8682.80,70.00,True
114260,B246/S0123467,False,1.792976,0.001490,0,10,1.000000,0.000000,0.444225,0.003290,0.444225,0.003290,8870.70,70.00,True
114508,B2368/S0123467,False,1.583870,0.001761,0,10,0.996498,0.006756,0.399072,0.008500,0.401868,0.007820,7967.20,69.70,True
